bs, l1s, l1a, vcs, l2s, l2a, l1read, l1readmiss, l1write, l1writemiss, swapreqs, swapreqrate, swaps, l1missrate, l1writeback, l2read, l2readmiss, l2write, l2writemiss, l2missrate, l2writebacks, memtraffic
32, 1024, 1, 0, 65536, 8, 63640, 12300, 36360, 7046, 0, 0.000000, 0, 0.193500, 8359, 19346, 2589, 8359, 0, 0.133800, 290, 2879
32, 2048, 1, 0, 65536, 8, 63640, 8905, 36360, 5869, 0, 0.000000, 0, 0.147700, 6713, 14774, 2589, 6713, 0, 0.175200, 290, 2879
32, 4096, 1, 0, 65536, 8, 63640, 5883, 36360, 4134, 0, 0.000000, 0, 0.100200, 4675, 10017, 2589, 4675, 0, 0.258500, 290, 2879
32, 8192, 1, 0, 65536, 8, 63640, 3327, 36360, 3373, 0, 0.000000, 0, 0.067000, 3574, 6700, 2589, 3574, 0, 0.386400, 290, 2879
32, 16384, 1, 0, 65536, 8, 63640, 1932, 36360, 2677, 0, 0.000000, 0, 0.046100, 2503, 4609, 2590, 2503, 0, 0.561900, 278, 2868
32, 32768, 1, 0, 65536, 8, 63640, 1356, 36360, 2412, 0, 0.000000, 0, 0.037700, 1696, 3768, 2593, 1696, 17, 0.688200, 229, 2839
32, 1024, 1, 2, 65536, 8, 63640, 12300, 36360, 7046, 19314, 0.193100, 3269, 0.160800, 7260, 16077, 2589, 7260, 0, 0.161000, 290, 2879
32, 2048, 1, 2, 65536, 8, 63640, 8905, 36360, 5869, 14710, 0.147100, 2467, 0.123100, 5822, 12307, 2589, 5822, 0, 0.210400, 289, 2878
32, 4096, 1, 2, 65536, 8, 63640, 5883, 36360, 4134, 9889, 0.098900, 1168, 0.088500, 4416, 8849, 2589, 4416, 0, 0.292600, 285, 2874
32, 8192, 1, 2, 65536, 8, 63640, 3327, 36360, 3373, 6444, 0.064400, 693, 0.060100, 3402, 6007, 2591, 3402, 0, 0.431300, 273, 2864
32, 16384, 1, 2, 65536, 8, 63640, 1932, 36360, 2677, 4097, 0.041000, 444, 0.041700, 2339, 4165, 2595, 2339, 4, 0.623000, 265, 2864
32, 32768, 1, 2, 65536, 8, 63640, 1356, 36360, 2412, 2778, 0.027800, 334, 0.034300, 1592, 3434, 2593, 1592, 50, 0.755100, 194, 2837
32, 1024, 1, 4, 65536, 8, 63640, 12300, 36360, 7046, 19314, 0.193100, 4620, 0.147300, 6830, 14726, 2589, 6830, 0, 0.175800, 290, 2879
32, 2048, 1, 4, 65536, 8, 63640, 8905, 36360, 5869, 14710, 0.147100, 3443, 0.113300, 5524, 11331, 2589, 5524, 0, 0.228500, 289, 2878
32, 4096, 1, 4, 65536, 8, 63640, 5883, 36360, 4134, 9889, 0.098900, 1689, 0.083300, 4268, 8328, 2589, 4268, 0, 0.310900, 285, 2874
32, 8192, 1, 4, 65536, 8, 63640, 3327, 36360, 3373, 6444, 0.064400, 1049, 0.056500, 3279, 5651, 2592, 3279, 0, 0.458700, 272, 2864
32, 16384, 1, 4, 65536, 8, 63640, 1932, 36360, 2677, 4097, 0.041000, 598, 0.040100, 2268, 4011, 2595, 2268, 4, 0.647000, 265, 2864
32, 32768, 1, 4, 65536, 8, 63640, 1356, 36360, 2412, 2778, 0.027800, 476, 0.032900, 1540, 3292, 2593, 1540, 50, 0.787700, 194, 2837
32, 1024, 1, 8, 65536, 8, 63640, 12300, 36360, 7046, 19314, 0.193100, 6117, 0.132300, 6355, 13229, 2589, 6355, 0, 0.195700, 290, 2879
32, 2048, 1, 8, 65536, 8, 63640, 8905, 36360, 5869, 14710, 0.147100, 4456, 0.103200, 5252, 10318, 2589, 5252, 0, 0.250900, 288, 2877
32, 4096, 1, 8, 65536, 8, 63640, 5883, 36360, 4134, 9889, 0.098900, 2343, 0.076700, 4028, 7674, 2589, 4028, 0, 0.337400, 284, 2873
32, 8192, 1, 8, 65536, 8, 63640, 3327, 36360, 3373, 6444, 0.064400, 1515, 0.051900, 3025, 5185, 2593, 3025, 0, 0.500100, 272, 2865
32, 16384, 1, 8, 65536, 8, 63640, 1932, 36360, 2677, 4097, 0.041000, 831, 0.037800, 2165, 3778, 2595, 2165, 4, 0.686900, 265, 2864
32, 32768, 1, 8, 65536, 8, 63640, 1356, 36360, 2412, 2778, 0.027800, 571, 0.032000, 1488, 3197, 2593, 1488, 50, 0.811100, 193, 2836
32, 1024, 1, 16, 65536, 8, 63640, 12300, 36360, 7046, 19314, 0.193100, 8095, 0.112500, 5695, 11251, 2589, 5695, 0, 0.230100, 290, 2879
32, 2048, 1, 16, 65536, 8, 63640, 8905, 36360, 5869, 14710, 0.147100, 5740, 0.090300, 4766, 9034, 2590, 4766, 0, 0.286700, 288, 2878
32, 4096, 1, 16, 65536, 8, 63640, 5883, 36360, 4134, 9889, 0.098900, 3521, 0.065000, 3575, 6496, 2591, 3575, 0, 0.398900, 283, 2874
32, 8192, 1, 16, 65536, 8, 63640, 3327, 36360, 3373, 6444, 0.064400, 2213, 0.044900, 2681, 4487, 2594, 2681, 0, 0.578100, 272, 2866
32, 16384, 1, 16, 65536, 8, 63640, 1932, 36360, 2677, 4097, 0.041000, 1037, 0.035700, 2044, 3572, 2596, 2044, 4, 0.726800, 264, 2864
32, 32768, 1, 16, 65536, 8, 63640, 1356, 36360, 2412, 2778, 0.027800, 710, 0.030600, 1392, 3058, 2593, 1392, 49, 0.847900, 190, 2832
32, 1024, 2, 0, 65536, 8, 63640, 9623, 36360, 5980, 0, 0.000000, 0, 0.156000, 7002, 15603, 2589, 7002, 0, 0.165900, 290, 2879
32, 2048, 2, 0, 65536, 8, 63640, 5994, 36360, 4720, 0, 0.000000, 0, 0.107100, 5391, 10714, 2589, 5391, 0, 0.241600, 290, 2879
32, 4096, 2, 0, 65536, 8, 63640, 4000, 36360, 3528, 0, 0.000000, 0, 0.075300, 3962, 7528, 2589, 3962, 0, 0.343900, 287, 2876
32, 8192, 2, 0, 65536, 8, 63640, 2184, 36360, 2550, 0, 0.000000, 0, 0.047300, 2666, 4734, 2593, 2666, 0, 0.547700, 285, 2878
32, 16384, 2, 0, 65536, 8, 63640, 1161, 36360, 2223, 0, 0.000000, 0, 0.033800, 1965, 3384, 2595, 1965, 0, 0.766800, 269, 2864
32, 32768, 2, 0, 65536, 8, 63640, 752, 36360, 2129, 0, 0.000000, 0, 0.028800, 1324, 2881, 2594, 1324, 27, 0.900400, 231, 2852
32, 1024, 4, 0, 65536, 8, 63640, 8449, 36360, 5821, 0, 0.000000, 0, 0.142700, 6689, 14270, 2589, 6689, 0, 0.181400, 290, 2879
32, 2048, 4, 0, 65536, 8, 63640, 5170, 36360, 4452, 0, 0.000000, 0, 0.096200, 4942, 9622, 2589, 4942, 0, 0.269100, 289, 2878
32, 4096, 4, 0, 65536, 8, 63640, 2941, 36360, 3051, 0, 0.000000, 0, 0.059900, 3369, 5992, 2592, 3369, 0, 0.432600, 284, 2876
32, 8192, 4, 0, 65536, 8, 63640, 1844, 36360, 2403, 0, 0.000000, 0, 0.042500, 2496, 4247, 2593, 2496, 0, 0.610500, 276, 2869
32, 16384, 4, 0, 65536, 8, 63640, 741, 36360, 2091, 0, 0.000000, 0, 0.028300, 1782, 2832, 2596, 1782, 0, 0.916700, 265, 2861
32, 32768, 4, 0, 65536, 8, 63640, 570, 36360, 2070, 0, 0.000000, 0, 0.026400, 1236, 2640, 2598, 1236, 0, 0.984100, 260, 2858
